,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
465,Garh Maharaja,30.83,81.74,77,36,9.93
466,Jian,25.65,75.8,95,20,7.25
467,Labytnangi,66.66,55.82,98,92,7.92
468,Farah,32.37,83.45,18,0,11.54
469,Corrente,-17.45,66.44,82,0,5.35
470,Namibe,-15.19,64.28,100,0,6.73
471,Beisfjord,68.38,50.0,93,32,2.24
472,Tabas,33.6,74.72,34,0,4.56
473,Dunmore Town,25.5,84.44,99,12,10.83
474,Ust-Nera,64.57,54.74,61,12,1.77
475,Kang,-23.67,55.55,38,0,6.62
476,Bluefields,12.01,80.6,94,90,4.7
477,Susuman,62.78,49.25,100,92,3.6
478,Nyurba,63.29,65.45,79,8,3.71
479,Salinopolis,-0.61,80.48,95,32,17.13
480,Shimoda,34.7,78.57,94,75,28.86
481,San Jose,15.79,72.38,100,92,2.89
482,Vao,59.1,58.07,74,0,7.25
483,Touros,-5.2,77.24,83,68,14.41
484,Requena,39.49,77.0,65,0,9.17
485,Abu Kamal,34.45,82.19,41,0,12.17
486,Shadegan,30.65,90.52,40,0,11.41
487,Ixtapa,20.71,87.8,62,90,5.82
488,Lodwar,3.12,65.54,78,20,2.33
489,Matagami,9.67,67.7,99,76,2.77
490,Harper,30.3,94.03,33,1,10.29
491,Nazarovo,56.01,49.34,86,0,4.23
492,Eureka,40.8,59.0,93,90,9.17
493,Tsiroanomandidy,-18.77,49.97,78,0,3.11
494,Dharchula,29.85,52.31,96,20,1.36
495,Bosaso,11.28,89.3,80,0,15.97
496,Denizli,37.77,71.6,64,0,4.7
497,Greenville,34.85,78.57,74,1,6.93
498,Kurilsk,45.23,56.9,90,56,12.17
499,Maraa,-1.83,75.35,94,32,2.59
500,Beitbridge,-22.21,65.45,79,44,3.33
501,Burns Lake,54.23,73.46,44,0,5.57
502,Songea,-10.68,51.59,87,0,1.81
503,Dusetos,55.75,61.49,86,36,2.59
504,Isiro,2.77,65.27,100,80,2.21
505,Hovd,63.83,61.92,77,0,12.75
506,Kattivakkam,13.22,82.4,69,75,5.82
507,Okha,53.59,67.07,89,0,3.89
508,Chernyshevskiy,63.01,55.82,75,0,3.6
509,Tayud,10.38,84.2,70,90,13.87
510,Zhanakorgan,43.91,78.5,41,0,11.54
511,Moron,10.49,84.2,51,75,2.59
512,Mutoko,-17.4,55.55,77,0,2.33
513,Talaya,55.79,50.51,84,0,6.4
514,Marquette,46.54,64.56,72,40,5.82
515,Sorong,-0.86,80.84,100,20,8.52
516,Gigmoto,13.78,82.82,99,92,16.87
517,Xam Nua,20.42,68.42,95,80,2.21
518,Myitkyina,25.38,76.88,96,68,1.59
519,The Pas,53.82,77.0,57,75,16.11
520,Coihaique,-45.58,39.2,80,75,3.36
521,Artigas,-30.4,59.6,74,0,12.88
522,Kindersley,51.47,82.4,30,75,16.11
523,Kutum,14.2,62.48,96,44,2.89
524,Baruun-Urt,46.68,65.72,78,0,1.77
525,Okhotsk,59.36,57.62,92,44,3.49
526,Hassleholm,56.16,63.86,93,0,2.24
